top_depth,base_depth,thickness_ft,angle_deg,gr_mean,gr_std,shape,symmetrical,serrated,WELL
2345.5,2542.0,196.5,37.28608370266207,48.86294010152283,18.2298317533667,FUNNEL,True,False,SRN-10
2542.0,2962.0,420.0,-38.884400340686376,32.35862794292509,16.23822524369539,BELL,True,False,SRN-10
2962.0,3026.5,64.5,59.02038543372584,50.960948461538464,19.849100925150374,FUNNEL,True,True,SRN-10
3026.5,3126.5,100.0,-58.55787884319349,31.652287562189056,12.447858557761027,BELL,True,True,SRN-10
3126.5,3502.0,375.5,53.70454512186605,58.98685518617022,17.557527423689724,FUNNEL,True,True,SRN-10
3502.0,3751.0,249.0,-47.18337204255557,32.634753907815636,18.13307102834591,BELL,True,False,SRN-10
3751.0,3837.0,86.0,24.835654526332142,39.624110404624275,23.696241941833378,CYLINDRICAL,False,False,SRN-10
3837.0,3998.0,161.0,-48.53287102312567,32.97566408668731,19.312490173709037,BELL,True,False,SRN-10
3998.0,4143.5,145.5,62.68389270885859,53.819369863013705,22.118319863423977,FUNNEL,True,False,SRN-10
4143.5,4418.5,275.0,-51.394047476858624,32.50601306715063,19.34340158052965,BELL,True,False,SRN-10
4418.5,4544.0,125.5,60.06189261987448,60.41458452380953,22.289548048357513,FUNNEL,True,False,SRN-10
4544.0,4755.5,211.5,-50.88970352064207,34.934201415094336,12.217214614688814,BELL,True,False,SRN-10
4755.5,5213.0,457.5,35.57256073818024,66.18411932314412,8.924648081707375,FUNNEL,True,False,SRN-10
5213.0,5437.0,224.0,-25.33305937043324,58.55622036613273,9.593053294424916,CYLINDRICAL,False,False,SRN-10
5437.0,5625.5,188.5,51.17972405993476,71.82847724867725,6.566780544396581,FUNNEL,True,False,SRN-10
5625.5,5939.0,313.5,-44.631737320223486,55.670775000000006,18.299268247011376,BELL,True,False,SRN-10
5939.0,6085.0,146.0,56.028058493580055,68.43434300341298,15.983922318725517,FUNNEL,True,False,SRN-10
6085.0,6234.0,149.0,-13.903101618106076,60.03786421404681,20.160213614898815,CYLINDRICAL,False,False,SRN-10
6234.0,6368.0,134.0,-62.72866765392171,45.43239628252789,25.943961900744313,BELL,False,False,SRN-10
6368.0,6497.5,129.5,0.8908062845720228,66.16472999999999,17.98445062192359,CYLINDRICAL,False,False,SRN-10
6497.5,6846.5,349.0,45.40569748495983,79.20365779685265,14.433224435601623,FUNNEL,True,False,SRN-10
6846.5,6965.0,118.5,-64.10464009259248,55.19982857142857,28.738993137679458,BELL,True,False,SRN-10
6965.0,7179.0,214.0,45.037284545782654,74.09207645687646,16.659038064230568,FUNNEL,True,False,SRN-10
7179.0,7314.5,135.5,-69.75685293223219,45.589616544117646,19.003996225488102,BELL,True,False,SRN-10
7314.5,7592.0,277.5,33.05517342898022,78.8260535971223,14.892251148459122,FUNNEL,True,False,SRN-10
7592.0,7691.0,99.0,-24.75445326933559,73.23609346733669,17.5395749556949,CYLINDRICAL,False,False,SRN-10
7691.0,7920.0,229.0,44.41389622560503,83.88768104575165,13.060002639437046,FUNNEL,True,False,SRN-10
7920.0,8023.0,103.0,-58.10726724173393,66.36814734299517,26.10711113444683,BELL,True,False,SRN-10
8023.0,8356.0,333.0,38.251386437459864,84.28517181409296,15.374585415040075,FUNNEL,True,False,SRN-10
8356.0,8476.0,120.0,-56.49268687560157,56.6153265560166,28.37310277843952,BELL,True,True,SRN-10
8476.0,8555.5,79.5,58.0521869606725,82.37598375,18.612547865122764,FUNNEL,True,True,SRN-10
8555.5,8693.5,138.0,-53.93627402070819,55.41627436823105,25.179325803411118,BELL,True,True,SRN-10
8693.5,8869.0,175.5,-25.00889313007207,73.98442017045454,20.821441117627973,CYLINDRICAL,False,False,SRN-10
8869.0,8963.0,94.0,-2.1476841810818765,76.45343068783069,24.52638946628432,CYLINDRICAL,False,False,SRN-10
8963.0,9102.0,139.0,17.264377964716903,84.25747158671587,14.659700526311866,CYLINDRICAL,False,False,SRN-10
9102.0,9206.5,104.5,-16.747153781232043,80.87064857142857,20.82459886635727,CYLINDRICAL,False,False,SRN-10
9206.5,9314.0,107.5,18.76276274952447,87.64702361111111,6.442342637484293,CYLINDRICAL,False,False,SRN-10
9314.0,9473.0,159.0,-0.3401672534707615,86.4676576802508,12.275767360649429,CYLINDRICAL,False,False,SRN-10
9473.0,9767.0,294.0,24.758013335954303,94.30260628183362,7.072265724504989,CYLINDRICAL,False,False,SRN-10
9767.0,9891.0,124.0,-34.485497537102,86.67877590361446,8.840208494814409,BELL,True,False,SRN-10
9891.0,10063.5,172.5,41.86949678139011,96.58523815028903,5.140194428813097,FUNNEL,True,False,SRN-10
10063.5,10206.5,143.0,-53.42523769881682,79.35735853658537,20.42960267660705,BELL,True,False,SRN-10
10206.5,10338.5,132.0,27.135786181295327,94.9126124528302,5.063043606484708,CYLINDRICAL,False,False,SRN-10
10338.5,10442.0,103.5,-18.686407484375362,90.09710817307692,8.609815364850062,CYLINDRICAL,False,False,SRN-10
10442.0,10514.0,72.0,5.3047512713926945,94.46546000000001,4.334902523509731,CYLINDRICAL,False,False,SRN-10
